id,brand_name,generic_name,species,dose_mg_per_kg_min,dose_mg_per_kg_max,concentration_value,concentration_unit,concentration_ml,dosage_form,route,frequency,unit_description,notes
"809","Biozal (Science Med Co.)","Butaphosphan + Vit B12","large_animal","0","0","100","mg/ml","1","injectable","IV/IM/SC","q24h","100 ml vial (Science Med Co.)","Category: Supportive treatment. Composition: Each 1 ml contains - Butaphosphan 100 mg - Cyanocobalamin ( Vit B12 ) 0.1 mg Properties: - Butaphosphan is one of organic phosphorus that is involved in all organic systems for improving the process of assimilation. Vitamin - - B12 is involved in the synthesis of proteins and red cells.... | DOSING: Per-animal dose. Horses/Cattle: 1-2 mL/100 kg IV/IM/SC. Refer to product label. | Ref: Ref: Plumb's 9th Ed. p. 159."
"810","Worm-free (N/A)","Albendazole","cattle","5","15","25","mg/ml","1","oral solution","PO","single dose PO","1L Bottle (N/A)","Category: Anthelmintic. Anthelmintic (Benzimidazole) Composition: Each 1 ml contains: - Albendazole 25 mg. Indications : Albendazole is a broad spectrum anthelmentic used for treatment of worm infestations in all ruminants. Dose: - Orally as a single dose. Cattle: - For Roundworms and Tapeworms: 1.5 ml / 5 kg. - For Adult ... | Ref: Ruminants 5-15 mg/kg PO. Horses 5-10 mg/kg PO x 5 days. Merck Vet Manual."
"811","Ivermezol (Eipivet)","Ivermectin + Triclabendazole","large_animal","0.2","0.2","50","mg/ml","1","oral solution","PO","single dose (repeat in 2 weeks if needed)","1L Bottle (Eipivet)","Category: Anthelmintic. Composition Each 1 ml contains : Triclabendazole 50 mg. Ivermectin 1 mg. Indications: • Eradicates Internal parasites such as liver flukes as Fasciola (in case of early immature, immature and mature Fasciola stages), gastro-intestinal round worms , lung worms, tissue invading flays larvae . • Eradic... | Ref: Cattle/Sheep/Goats 0.2 mg/kg SC or PO. Horses 0.2 mg/kg PO. Plumb's Vet Drug Handbook."
"812","Pionix 25% (Allam Co.)","Nitroxynil","large_animal","10","10","10","mg/ml","1","injectable","SC","q24h","100 ml vial (Allam Co.)","Category: Anthelmintic. Pionix Injectable Solution For vet. use only Composition: Each 100 ml contains: - Nitroxynil 25 gm Properties: - Nitroxynil in sheep and cattle are very similar. After subcutaneous injection of a single dose of 10 mg / kg peak plasma levels of 83.6 g / ml are achieved at 9.3 hours in sheep, and plas... | Ref: Ref: NOAH Compendium."
"813","Ruminal (Serio-Pharm)","Neostigmine","large_animal","0.01","0.02","100","mg/ml","1","injectable","IV/IM/SC","q24h","50 ml vial (Serio-Pharm)","Category: Anti-cholinestrase. Composition: Each ml conains: - Neostigmine methylsulfate 2.5 mg (eq to 1.67 mg Neostigmine) Properties: - Neostigmine methylsulfate is a Parasympathamimetic, which used to intiate peristalsis, empty the bladder and stimulate skeletal muscle contraction. - Neostigmine is an anticholinesterase drug w... | Ref: Ref: Plumb's 9th Ed. p. 805."
"814","Bimectin (Bimeda Co.)","Ivermectin","large_animal","0.2","0.2","10","mg/ml","1","injectable","SC","single dose (repeat in 2 weeks if needed)","500 ml vial (Bimeda Co.)","Category: Anthelmintic. Anthelmintic (Avermectin) Composition: Ivermectin 1% w/v solution. Indications: • Control of mature and immature round worms as well as lung worms affecting Sheep, Goats , Cows, Buffaloes and Camels. • It also controls nasal bot, cattle grubs, mites, tick and lice that affect different animal specie... | Ref: Cattle/Sheep/Goats 0.2 mg/kg SC or PO. Horses 0.2 mg/kg PO. Plumb's Vet Drug Handbook."
"815","Intramicine (Ceva Co.)","Penicillin G + Streptomycin","large_animal","10","20","114","mg/ml","1","injectable","IM","q12-24h IM","100 ml vial (Ceva Co.)","Category: Antibiotic (Penicillin + Aminoglycoside). Composition: Each 1 ml contains: - Benzylpenicillin (as procaine monohydrate) 114 mg - Dihydrostreptomycin (as sulfate) 200 mg Excipients - Sodium methylparahydroxybenzoate (E 219) 1.4 mg - Sodium hydroxymethanesulfinate 4.0 mg - Procaine (as hydrochloric procaine) 17.3 mg INDICATIONS It is recommen... | Ref: Cattle/Horses 10-20 mg/kg IM q12-24h. Dogs/Cats 10-15 mg/kg IM q12h. Plumb's."
"816","Meloxiswede (Pharma swede)","Meloxicam","large_animal","0.5","1","20","mg/ml","1","injectable","IV/SC","q24h","30 ml vial (Pharma swede)","Category: NSAIDs. Composition: Each 1 ml contains 20 mg Meloxicam Properties: - MELOXICAM Non-steroidal, anti-inflammatory, which acts by inhibition of prostaglandin synthesis to give the anti inflammatory, analgesic, antiexudative and antipyretic effect. - MELOXICAM also have anti-endotoxic properties as it inhibit ... | Ref: Cattle 0.5 mg/kg IV/SC. Horses 0.6 mg/kg IV q24h. Plumb's Vet Drug Handbook."
"817","Jecuplex (Veyx)","VTAMINs + MINERALs","large_animal","0","0","7000","mg/ml","1","oral solution","PO","q24h","100 ml Bottle (Veyx)","Category: Supportive treatment. Composition per litre: - L-carnitine 7000 mg - Betaine 3750 mg - Vitamin B1 200 mg - Vitamin B2 80 mg - Vitamin B6 200 mg - Nicotinic acid 3000 mg - Vitamin B12 1000 mg - Pantothenic acid 360 mg - DL – Methionine 500 mg - Glycine 500 mg - L – Lysine 500 mg - L – threonine 40 mg - L-arginine 50 mg - ... | DOSING: Per-label dosing. Volume/animal varies by product. Not standard mg/kg."
"818","Tyloresp 20% (Arabcomed)","Tylosin","large_animal","10","20","200","mg/ml","1","injectable","IM","q12-24h","100 ml vial (Arabcomed)","Category: Antibiotic (Macrolide). Composition Each 100 ml contains - Tylosin tartrate 21.6 gm (eq to Tylosin base 20 gm) Properties - Tylosin is a macrolide antibiotic produced by a strain of Streptomyces fradiae. - It exerts its antimicrobial effect by inhibiting protein synthesis by binds to 50 S ribosome of susceptible micro-orga... | Ref: Cattle 10-20 mg/kg IM q12-24h. Pigs 8-10 mg/kg IM. Plumb's Vet Drug Handbook."
"819","Carnipar (Plexopharm (Rexall Ph.))","Clanobutin + L-Carnitine","large_animal","50","100","100","mg/ml","1","injectable","IM/IV","q24h PO","100 ml vial (Plexopharm (Rexall Ph.))","Category: Choleretic & Liver Tonic. COMPSITION: Each 1 ml contains: - Butanoic acid derivatives (clanobutin) 100 mg - L Carnitine 100 mg PROPERTIES: - L carnitine is amino acid essential in the transport of fats into muscle cells for energy production which cause delaying the accumulation of lactic acid. L-carnitine is an amino acid r... | Ref: Dogs 50-100 mg/kg PO q24h (dilated cardiomyopathy). Merck Vet Manual."
"820","Haemoken (Plexopharm (Rexall Ph.))","Vit K3 + Iron + Vit B12","large_animal","0","0","2400","mg/ml","1","injectable","IM/IV","q24h","50 ml vial (Plexopharm (Rexall Ph.))","Category: Hemostasis. Composition: Each 100 ml contains - Menadione Sodium (Vit K3) 2400 mg - Ferric Ammonium Citrate 1500 mg - Cyanocobalamin (Vit B12) 10 mg Properties: - Haemoken® is a Antihaemorrhagic vasotrophic with procoagulant factor, fast acting, iron and Vit K3 injection in a water base. - Haemoken® provides a ... | DOSING: Volume-based dosing per label. Cattle/Horses 10-25 mL IM/SC/IV; Calves/Foals 5-10 mL. (Not standard mg/kg). Ref: Merck Vet Manual."
"821","Graniofen (N/A)","Ketoprofen","cattle","2","3","100","mg/ml","1","injectable","IV","q24h max 3-5 days","50 ml vial (N/A)","Category: NSAIDs. Composition: Each 1 ml contains: - Ketoprofen 100 mg Indications: • Analgesic & reduction of inflammation of muscle skeletal disorders, Lamness, Postpartum • Antipyretic effect with rapid onset of action • Reduction of inflammation of acute mastitis Dosage and route of administration: - Cattle: 3 ml... | Ref: Horses 2.2 mg/kg IV q24h. Cattle 3 mg/kg IV q24h. Plumb's Vet Drug Handbook."
"822","Excenel (Zoetis)","Ceftiofur","large_animal","6.6","6.6","50","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Zoetis)","Category: Antibiotic (3rd Gen Cephalosporin). Advanced veterinary cephalosporin with excellent Gram-negative and Gram-positive efficacy. Indications: Bovine Respiratory Disease, Acute interdigital necrobacillosis (Foot rot), and Acute post-partum metritis. Dosage: Cattle/Swine 1.1-2.2 mg/kg IM/SC q24h for 3-5 days. Advantage: 0-day milk withdrawal in dairy cattle! Meat withdrawal: 4 days. Ref: Plumb's 9th Ed. p. 202."
"823","Arabmeglunix (Arab Caps)","Flunixin Meglumine","large_animal","1.1","2.2","82.88","mg/ml","1","injectable","IV/IM","q24h max 3-5 days","50 ml vial (Arab Caps)","Category: NSAIDs. Composition Each 1 ml contains: - Flunixin Meglumine 82.88 mg (eq to Flunixin 50 mg) Properties - Flunixin Meglumine is a non-steroidal anti-inflammatory drug. It has analgesic, Anti-inflammatory and antipyretic activity. - Flunixin Meglumine acts by interfering with the arachidonic acid pathway of ... | Ref: Cattle 1.1-2.2 mg/kg IV q24h. Horses 0.5-1.1 mg/kg IV/IM q12h. Plumb's Vet Drug Handbook."
"824","Multivitamin (Norbrook)","VITAMINs","large_animal","0","0","100","mg/ml","1","injectable","IV/IM/SC","q24h","100 ml vial (Norbrook)","Category: Supportive treatment. Containing per ml: - Vitamin A 15,000 i.u. - Vitamin D3 25 micrograms - Vitamin E 20mg - Vitamin B1 10mg - Vitamin B2 Sodium Phosphate 5mg - Vitamin B6 3mg - Nicotinamide 35mg - Pantothenol 25mg - Vitamin B12 25 micrograms - Chlorocresol (preservative) 1mg USES: prevention and treatment of vitamin d... | DOSING: Per-label volume dosing per animal. Not weight-based mg/kg."
"825","Multivitamins Alfasan (Elyoser (Alfasan))","VITAMINs","large_animal","0","0","20","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Elyoser (Alfasan))","Category: Supportive treatment. Content per ml: • Vitamin A 1500 I.U. • Vitamin D3 1000 I.U. • Vitamin E 20 mg • Vitamin B1 10 mg • Vitamin B2 6.85 mg • Vitamin B6 3 mg • Vitamin B12 0.05 mg • Nicotinamide 35 mg • D-panthenol 25 mg Features of Multivitamins: 1- Homogeneous combination of 9 Vitamins. 2- Rich source for vitamin B Co... | DOSING: Per-label volume dosing per animal. Not weight-based mg/kg."
"826","Sulphavet (Memphis)","Sulphadimidine","large_animal","33","50","333","mg/ml","1","injectable","IM/IV","q12-24h PO","100 ml vial (Memphis)","Category: Antibiotic (Sulfonamide). Composition : Each 100 ml contains : Sulphadimidine sodium 33.30 gm (eq. to sulphadimidine base 30.83 gm) Properties: Sulphavet 33.3% injectable solution is the trade name of sulphadimidine (sulphamethazine) which is sulphonamide antibacterial.It acts as antibacterial by competing with para-aminoben... | Ref: Poultry/Cattle 33-50 mg/kg PO q12-24h x 5 days. Merck Vet Manual."
"827","Analgin 50% (Memphis)","Dipyrone","large_animal","25","50","100","mg/ml","1","injectable","IV/IM/SC","q8-12h IM/IV","100 ml vial (Memphis)","Category: Analgesic, Antipyretic & Spasmolytic. COMPOSITION: Each 1 ml contains - Dipyrone 500 mg PROPERTIES ANALGIN has analgesic, antipyretic, it has a central analgesic and at the same time a marked sedative action on animals, the spasmolytic effect on smooth muscles achieved by combining the centrally analgesic component with an action that b... | Ref: Cattle/Horses 25-50 mg/kg IV/IM q8-12h. Dogs/Cats 25-50 mg/kg IM/SC q8h. Plumb's."
"828","Atropine 1% (Memphis)","Atropine sulphate","large_animal","0.03","0.06","10","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Memphis)","Category: Parasympathomimitic. Composition: Each 1 ml contains: Atropine sulphate 10 mg (eq. to Atropine base 8.329 mg) Properties and Indication: Anti cholinergic, smooth muscle relaxant and mydriatic used in the follwing cases: 1- As a pre-anesthetic adjuvant to reduce salivation and bronchial secretions 2- Adjunct in gastroint... | Ref: Ref: Plumb's 9th Ed. p. 104."
"829","Garavet 50 (Memphis)","Gentamicin","large_animal","6.6","6.6","100","mg/ml","1","injectable","IV/IM","q24h IM/IV","100 ml vial (Memphis)","Category: Antibiotic (Aminoglycoside). Composition: Each 1 ml contains: - Gentamicin sulphate 60.2 mg (eq to Gentamicin base 50 mg) Properties: Gentamicin: is parenteral aminoglycoside Antibiotic, its main activity is against Gm –Ve bacteria such as : (Klebsiella spp. , Pseudomonas aeruginosa , E.coli , Salmonella spp. , Bordetella bronc... | Ref: Cattle/Horses 6.6 mg/kg IM/IV q24h. Neonates 6 mg/kg IV. Plumb's."
"830","Garavet 10 (Memphis)","Gentamicin","large_animal","6.6","6.6","100","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Memphis)","Category: Antibiotic (Aminoglycoside). Composition: Each 1 ml contains: - Gentamicin (as sulphate) 100 mg Properties: - Garavet 10% is an aminoglycoside that is active against most gram negative and gram positive bacteria isolated from domestic animals. - Gentamicin is active against Pseudomonas aeruginosa, indole positive and negative P... | Ref: Ref: Plumb's 9th Ed. p. 504."
"831","Avinide (Avico)","Rafoxanide","large_animal","7.5","15","25","mg/ml","1","oral solution","PO","single dose","1L Bottle (Avico)","Category: Anthelmintic. Anthelmintic (Salicylanilide) Composition: Each 1 ml contains: - Rafoxanide 25 mg Properties - Rafoxanide is a fasciolicide drug, which has a potent activity against adult liver flukes as Fasciola hepatica and Fasciola gigantica. - It also has respectable efficacy against immature fluke. - Rafoxanid... | Ref: Cattle 7.5-15 mg/kg PO; Sheep 7.5-15 mg/kg PO. Merck Vet Manual."
"832","Analgin 50% (UCCMA - Ghannam)","Dipyrone","large_animal","10","20","500","mg/ml","1","injectable","IV/IM/SC","q24h","100 ml vial (UCCMA - Ghannam)","Category: Analgesic, Antipyretic & Spasmolytic. Composition: Each 100 ml contain - Dipyrone 50 gm (1-pheny! 1,2,3 dimethyl, 5 pyrazolone,4-metnyl aminomethane sulphonate sodium) - Analgin is a potent analgesic antipyretic and antirheumatic agent with marked sedative and spasmolytic properties on animals. - The spasmolytic effect of analgin on smo... | Ref: Ref: Merck Vet Manual."
"833","Gentian spray (N/A)","Gentian Violet","large_animal","0","0","100","mg/ml","1","spray","Topical","q24h","Spray (N/A)","Category: Topical Antiseptic. Indications: • Topical infections • Mucosal infections • Surgical procedures and wounds • Hoof infections | DOSING: Apply topically to affected area BID or as directed on label. For external veterinary use only."
"834","Oxytab (N/A)","Oxytetracycline","large_animal","5","10","100","mg/tab","1","tablet","PO","q12-24h","Tablets (N/A)","Category: Antibiotic (Tetracycline). Indications: • Treatment of bacterial enteritis • Prevention & treatment of various uterine infections due to retention of placental membranes. • Treatment of various systemic bacterial infections Dosage: Use a suitable balling gun for administration per os: 1 tablet / 20 – 45 kg B.wt For uterine in... | Ref: Cattle/Sheep/Horses 5-10 mg/kg IV/IM q12-24h (short-acting) or 20 mg/kg IM q48-72h (long-acting). Plumb's."
"835","Rivaben (N/A)","Penicillin G + Streptomycin","large_animal","10","20","100","mg/ml","1","injectable","IM","q12-24h IM","Powder Vial (N/A)","Category: Antibiotic (Penicillin + Aminoglycoside). COMPOSITION: Each Vial contains: - Penicillin G. Procaine 1.200.000 I.U. - Penicillin G. Sodium 400.000 I.U. - Streptomycin Sulphate 2 gm INDICATIONS: Broad spectrum antibiotic against gram +ve & -ve bacterial infections and inflammations of: Respiratory tract - Genito - urinary tract Gastro intesti... | Ref: Cattle/Horses 10-20 mg/kg IM q12-24h. Dogs/Cats 10-15 mg/kg IM q12h. Plumb's."
"836","Ivelon forte (Arabcomed)","Ivermectin + Clorsulon","large_animal","2","2","2","mg/ml","1","injectable","IM/IV","q24h","50 ml vial (Arabcomed)","Category: Anthelmintic. Composition: Each 100 ml contains: - Ivermectin 1 gm - Cloruslon 10 gm Properties: - Ivermectin is a broad-spectrum endectocide of the avermectin family. - Ivermectin has a broad and potent antiparasitic activity against nematodes and arthropods. - It acts by inhibiting nerve impulses. Ivermectin bi... | Ref: Ref: Plumb's 9th Ed. p. 636."
"837","Pero flam 5% (Pero vet Co.)","Diclofenac sodium + Paracetamol","large_animal","1","2.5","100","mg/ml","1","injectable","IM","q24h IM","100 ml vial (Pero vet Co.)","Category: NSAIDs. Composition: Each 100 ml contains - Diclofenac Na 5 gm - Paracetamol 15 gm Properties - Diclofenac is a nonsteroidal anti-inflammatory drug (NSAID) taken to reduce inflammation and as an anti-pyretic and analgesic reducing pain in certain conditions. - Paracetamol is centerally acting NSAID (COX 3 i... | Ref: Cattle 1 mg/kg IM q24h. Dogs/Cats 1-2 mg/kg PO q12h. Merck Vet Manual. | Ref: Cattle 1 mg/kg IM q24h. Merck Vet Manual."
"838","Artrivet Forte (DFV Co.)","Phenylbutazone + Dexamethasone","large_animal","2.2","4.4","100","mg/ml","1","injectable","IV","q24h (horses), q48h (cattle)","100 ml vial (DFV Co.)","Category: NSAIDs + SAIDs. COMPOSITION: - Phenylbutazone 200 mg - Dexamethasone 0.25 mg - Excipient q.s. 1 ml DESCRIPTION: Analgesic, anti-inflammatory and anti-pyretic effect, derived from pyrazolone, indicated in the treatment of locomotor system diseases. INDICATIONS: Treatment of primary locomotor system diseases. Coadjut... | Ref: Horses 2.2-4.4 mg/kg IV/PO q24h. Cattle 10 mg/kg PO (rarely used). Plumb's. Do NOT use in cats."
"839","Vita-C Vetoquinol","Vitamin C","dogs and cats","0","0","200","mg/ml","1","injectable","IV","q24h","50 ml vial (Vetoquinol)","Category: Supportive treatment. Vita-C is used in cattle, sheep, goats, horses, pigs, dogs, cats and poultry: - treatment of vitamin C deficiency - adjuvant therapy for asthenia, notably in cases of infection or stress Composition - Ascorbic Acid (vitamin C) 200 mg/ml Dosage and administration Vita-C should be intravenous, intramu... | DOSING: Volume-based dosing per label. Cattle/Horses 10-25 mL IM/SC/IV; Calves/Foals 5-10 mL. (Not standard mg/kg). Ref: Merck Vet Manual."
"840","Albendazole forte (Avico)","Albendazole","large_animal","7.5","7.5","125","mg/ml","1","oral solution","PO","q24h","1L Bottle (Avico)","Category: Anthelmintic. Anthelmintic (Benzimidazole) Composition Each 1 ml contains: - Albendazole 125 mg Properties - very effective anthelmintic which acts by preventing worms from utilizing glucose. - Glucose is not absorbed and the parasite's glycogen become depleted and the worms are not able to synthesize Adenosine t... | Ref: Ref: Plumb's 9th Ed. p. 26."
"841","Bimectin (Bimeda Co.)","Ivermectin","horse","0.2","0.2","1.87","mg/syringe","1","oral paste","PO","single dose (repeat in 2 weeks if needed)","Oral Paste (Bimeda Co.)","Category: Anthelmintic. Anthelmintic (Avermectin) Bimectin Oral Paste with 1.87mg/g of ivemectin is an excellent option for the treatment of nematode or arthropod infestations in horses sensitive to ivermectin. The calibrated syringe allows accurate dosing and the gel formulation facilitates absorption. What’s more, the Bi... | Ref: Cattle/Sheep/Goats 0.2 mg/kg SC or PO. Horses 0.2 mg/kg PO. Plumb's Vet Drug Handbook."
"842","Megacal M (N/A)","Calcium + Magnesium + Phosphorous","cattle","0","0","46","mg/ml","1","injectable","IV","q24h","100 ml vial (N/A)","Category: Electrolyte / Mineral (Calcium). Calcium borogluconate formulation for acute hypocalcemia (Milk fever / Parturient paresis in cattle, eclampsia in bitches). Indications: Tremors, recumbency, loss of consciousness due to acute calcium deficiency. Dosage: Cattle: 250-500 ml IV slowly by gravity over 15-20 minutes with cardiac auscultation; Bitches: 1-1.5 ml/kg 10% solution slowly IV. Ref: Plumb's 9th Ed. p. 165."
"843","Quikcal (Brand new)","Calcium + Magnesium + Phosphorous","large_animal","0","0","100","mg/ml","1","injectable","IV","q24h","100 ml vial (Brand new)","Category: Supportive treatment. COMPOSITION Each 100 ml contains: - Calcium gluconate, calcium borogluconate, calcium hydroxide (eq to 4.56 g Calcium) - Magnesium chloride (eq to 0.78 g Magnesium) - 2-aminoethyl-dinydrogenphosphate (eq to 0.132.g Phosphorus) INDICATIONS Acute calcium deficiency, Post-paturent hypocalcaemia (Mik fe... | DOSING: Per-animal IV slow infusion. Cattle: 250-500 mL IV slowly. (NOT weight-based mg/kg) | Ref: Ref: Plumb's 9th Ed. p. 165."
"844","Calciveyxol (Veyx)","Calcium + Magnesium + Boric acid","large_animal","0","0","100","mg/ml","1","injectable","IV","q24h","500 ml vial (Veyx)","Category: Supportive treatment. Composition: - Calcium gluconate 380 mg (corresponding to Ca2+: 34mg or 0.85 mmol, respectively) - Magnesium chloride hexahydrate 60mg (corresponding to Mg2+: 7.2 mg or 0.30 mmol, respectively) - Boric acid 50 mg Target species: Cattle, sheep, pigs. Indications: - Acute hypocalcaemic conditions. As ... | DOSING: Per-animal IV slow infusion. Cattle: 250-500 mL IV slowly. (NOT weight-based mg/kg) | Ref: Ref: Plumb's 9th Ed. p. 165."
"845","Biseptyl (Syva)","Lincomycin + Spectinomycin","dog","2.5","2.5","100","mg/ml","1","injectable","IM","q24h IM","100 ml vial (Syva)","Category: Antibiotic (Lincosamide + aminoglycoside). Active ingredient - Spectinomycin (sulphate) 100 mg/mL - Lincomycin (hydrochloride) 50 mg/mL Indications - Bovids: Pneumonia, colibacillosis. - Dogs: Pneumonia, colibacillosis. - Porcino: Vibrionic dysentery, Colibacillosis, enzootic pneumonia, salmonellosis, infectious arthritis. - For infections c... | Ref: Cattle/Pigs 2.5 mg/kg IM q24h. Plumb's."
"846","Rafinide (Avico)","Rafoxanide","large_animal","7.5","15","25","mg/ml","1","oral solution","PO","single dose","1L Bottle (Avico)","Category: Anthelmintic. Anthelmintic (Salicylanilide) Composition: Each 1 ml contains: - Rafoxanide 25 mg Properties - Rafoxanide is a fasciolicide drug, which has a potent activity against adult liver flukes as Fasciola hepatica and Fasciola gigantica. - It also has respectable efficacy against immature fluke. - Rafoxanid... | Ref: Cattle 7.5-15 mg/kg PO; Sheep 7.5-15 mg/kg PO. Merck Vet Manual."
"847","Hemo 15 (N/A)","VITAMINs + MINERALs","large_animal","0","0","2","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (N/A)","Category: Supportive treatment. Each ml contains: - Vit B12 (Cyanocobalamin) 150 ug - Copper Gluconate 0,2 mg - Iron Ammonium Citrate 15 mg - Choline Chloride 10 mg - Vit 82 (Riboflavin sodium 5Phosphate) 13,8 mg - D-Biotin 10 pg - Inositol 10 mg - Vit B6(Pyridoxine HCI) 10 mg - DL -Methionine 20 mg - Niacinamide 100 mg - DL -Lysi... | DOSING: Per-label dosing. Volume/animal varies by product. Not standard mg/kg."
"848","Cortamethasone (Vetoquinol)","Dexamethasone","dogs and cats","0.04","0.1","1","mg/ml","1","injectable","IM","q24h","50 ml vial (Vetoquinol)","Category: Corticosteroid (Glucocorticoid). Long-acting, potent glucocorticoid with 30x the anti-inflammatory potency of cortisol. Indications: Ketosis in dairy cattle, acute hypersensitivity/anaphylaxis, inflammatory musculoskeletal conditions, and induction of parturition. Dosage: Cattle/Horses 0.02-0.1 mg/kg IV/IM; Dogs/Cats 0.05-0.2 mg/kg IV/IM/SC. ⚠️ WARNING: Induces abortion in pregnant ruminants during last trimester! Withdrawal: Meat 8 days, Milk 72 hours. Ref: Plumb's 9th Ed. p. 347."
"849","Felorex (Allam Co.)","Florfenicol","large_animal","20","20","20","mg/ml","1","injectable","IM/IV","q8h","100 ml vial (Allam Co.)","Category: Antibiotic (Phenicol). Composition: Each 100 ml contains: - Florfenicol 30 gm Properties: - Florfenicol is a thiamphenicol derivative with same mechanism of action as chloramphenicol (inhibition of protein synthesis). However, it is more active than either chloramphenicol or thiamphenicol. - Florfenicol has a broad spectr... | Ref: Ref: Plumb's 9th Ed. p. 473."
"850","Clormectine (Allam Co.)","Ivermectin + Clorsulon","large_animal","0.2","0.2","100","mg/ml","1","injectable","SC","single dose (repeat in 2 weeks if needed)","50 ml vial (Allam Co.)","Category: Anthelmintic. Composition: Each ml contains: - Ivermactin 1 mg - Clorsulon 10 mg Indication: Clormectine inj is an Endectocide used for elimination of external parasites and internal parasites in Cattle and sheep. A) Major internal parasites: - Live flukes: Mature and immature ( Fasciola hepatica and Fasciola gig... | Ref: Cattle/Sheep/Goats 0.2 mg/kg SC or PO. Horses 0.2 mg/kg PO. Plumb's Vet Drug Handbook."
"851","Deltazole 10% (Delta Pharma)","Albendazole","large_animal","5","15","100","mg/ml","1","oral solution","PO","single dose PO","1L Bottle (Delta Pharma)","Category: Anthelmintic. Anthelmintic (Benzimidazole) DELTAZOLE 10% contains: Albendazole 100 mg / ml Indications : DELTAZOLE 10% is used in cattle, sheep and goat for control & treatment of gastro-intestinal round worms, lung worms, tape worms and adult liver flukes infestation. Dosage: - Cattle: 10 ml / 100 kg by oral dre... | Ref: Ruminants 5-15 mg/kg PO. Horses 5-10 mg/kg PO x 5 days. Merck Vet Manual."
"852","Myoselen E (Plexopharm (Rexall Ph.))","Vitamin E-Selenium","large_animal","0","0","100","mg/ml","1","oral solution","PO","per label","100 ml Bottle (Plexopharm (Rexall Ph.))","Category: Supportive treatment. Composition Each 100 ml contains - Vitamin E acetate 15 mg - Sodium selenite 0.3 gm - Excipients q.s.ad. 100 ml Indication: - Treatment and prevention of diseases caused by vitamin E and selenium deficiency. - In cases of nutritional muscular dysthrophy, myositis, necrotic hepatosis, growth retardat... | DOSING: Per-animal dosing per product label. Cattle/Horses 5-10 mL IM/SC. (NOT standard mg/kg weight-based) | Ref: Ref: Plumb's 9th Ed. p. 1195."
"853","Piprazin plus (Vetlarg)","Piperazine + Artemisia herb","dogs and cats","45","65","100","mg/ml","1","oral powder","PO","single dose PO","30 gm (Vetlarg)","Category: Anthelmintic. Composition: Each 100 gm contains: - Piperazine citrate 80 gm (eq to 29 gm base) - Artemisia herb 20 gm Indications: Ascaris, Oxyris, some Hook and Round warms. Dosage: - Cattle: 1 gm / 10 kg - horse: 3 gm / 1 litre - swine: 3 gm / 1 litre - poultry: 1 gm / 1 litre - cat & dog: 1.5 gm / 1 litre | Ref: Dogs/Cats 45-65 mg/kg PO single dose (ascarids). Plumb's Vet Drug Handbook."
"854","Tyloveto 20 (VMD Pharma)","Tylosin","cattle","10","20","100","mg/ml","1","injectable","IM","q12-24h","100 ml vial (VMD Pharma)","Category: Antibiotic (Macrolide). Composition: Each 1 ml solution contains: - Tylosin base (as tartrate) 200 mg Species: cattle Indications: • Bovine respiratory complex (shipping fever, pneumonia) usually associated with Pasteurella multocida, Fusobacterium, Mycoplasma and Actinomyces pyogenes. • Foot rot (necrotic pododermatitis) ... | Ref: Cattle 10-20 mg/kg IM q12-24h. Pigs 8-10 mg/kg IM. Plumb's Vet Drug Handbook."
"855","Gentaveto 5 (VMD Pharma)","Gentamicin","dogs and cats","9","14","100","mg/ml","1","injectable","IV/IM/SC","q24h IV/IM/SC","100 ml vial (VMD Pharma)","Category: Antibiotic (Aminoglycoside). Composition: Each 1 ml contains: - Gentamicin base (as sulphate) 50 mg Species: cattle, sheep, goat, horse, cat and dog. Indications: - Infections caused by micro-organisms susceptible to gentamycin, in case of urogenital, respiratory, tissue, skin, uterus and gastro-intestinal infections in horse, ... | Ref: Dogs/Cats 9-14 mg/kg IV/IM q24h (once-daily dosing). Monitor renal function. Plumb's."
"856","Nova 500 (Al Madina)","Dipyrone","large_animal","11","22","500","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Al Madina)","Category: Analgesic, Antipyretic & Spasmolytic. Composition: Each 1 ml contains - Dipyrone 500 mg Properties - Dipyrone, like other non-steroidal anti-inflammatory drugs, acts by inhibiting cyclo-oxygenase mediated production of prostaglandins. - It has analgesic, antipyretic and slight anti-inflammatory properties and reportedly has antispasmodi... | Ref: Ref: Merck Vet Manual."
"857","Vitamin AD3E (Elyoser (Alfasan))","Vitamin AD3E","dogs and cats","0","0","100","mg/ml","1","injectable","IM/SC","per label","100 ml vial (Elyoser (Alfasan))","Category: Vitamin Supplement (Fat-soluble). Concentrated fat-soluble vitamins for epithelial health, calcium/phosphorus metabolism, bone growth, and fertility. Indications: Hypovitaminosis, rickets, growth retardation, reproductive disorders, retained placenta, and white muscle disease prevention. Dosage: Cattle/Horses: 5-10 ml IM/SC; Calves/Foals: 2-5 ml; Sheep/Goats: 1-3 ml. Repeat in 2-3 months. Ref: Merck Vet Manual."
